 #    i     x              ref(x)   imf(x)    k   th(k)    reF(k)    imF(k)    reF-1(x)   imF-1(x)
    141  -14.492       210.0235       0.000000        22.15     -0.4077106E-02  0.4341227E-02 -0.1378249E-16   210.0235     -0.3573530E-14
    142  -14.453       208.8928       0.000000        22.31      0.4019884E-02  0.4284149E-02 -0.1871311E-16   208.8928     -0.1153352E-13
    143  -14.414       207.7652       0.000000        22.46     -0.3963859E-02  0.4228269E-02 -0.8419640E-15   207.7652      0.7874777E-14
    144  -14.375       206.6406       0.000000        22.62      0.3908996E-02  0.4173553E-02 -0.4494652E-17   206.6406      0.7105427E-14
    145  -14.336       205.5191       0.000000        22.78     -0.3855265E-02  0.4119969E-02 -0.8583966E-15   205.5191      0.1044043E-13
    146  -14.297       204.4006       0.000000        22.93      0.3802634E-02  0.4067486E-02 -0.1032336E-16   204.4006      0.4016661E-13
    147  -14.258       203.2852       0.000000        23.09     -0.3751073E-02  0.4016075E-02 -0.1344651E-15   203.2852     -0.1816123E-13
    148  -14.219       202.1729       0.000000        23.25      0.3700555E-02  0.3965707E-02 -0.1239337E-16   202.1729     -0.7369105E-14
    149  -14.180       201.0635       0.000000        23.40     -0.3651049E-02  0.3916354E-02 -0.5588976E-16   201.0635     -0.1429519E-13
    150  -14.141       199.9573       0.000000        23.56      0.3602531E-02  0.3867989E-02 -0.5651237E-16   199.9573      0.1982070E-13
    151  -14.102       198.8541       0.000000        23.72     -0.3554973E-02  0.3820586E-02 -0.1382929E-17   198.8541      0.1426744E-13
    152  -14.062       197.7539       0.000000        23.88      0.3508351E-02  0.3774119E-02  0.5327453E-17   197.7539     -0.1137979E-14
    153  -14.023       196.6568       0.000000        24.03     -0.3462640E-02  0.3728565E-02 -0.9967620E-16   196.6568     -0.1046493E-13
    154  -13.984       195.5627       0.000000        24.19      0.3417817E-02  0.3683899E-02 -0.2750901E-16   195.5627      0.2775558E-15
    155  -13.945       194.4717       0.000000        24.35     -0.3373858E-02  0.3640100E-02  0.3046862E-15   194.4717     -0.3022904E-13
    156  -13.906       193.3838       0.000000        24.50      0.3330742E-02  0.3597144E-02 -0.2614414E-16   193.3838      0.7300790E-14
    157  -13.867       192.2989       0.000000        24.66     -0.3288448E-02  0.3555010E-02 -0.1872903E-15   192.2989     -0.1962427E-13
    158  -13.828       191.2170       0.000000        24.82      0.3246953E-02  0.3513679E-02  0.1794250E-16   191.2170      0.4275432E-14
    159  -13.789       190.1382       0.000000        24.98     -0.3206240E-02  0.3473129E-02 -0.1339002E-14   190.1382      0.2367765E-13
    160  -13.750       189.0625       0.000000        25.13      0.3166287E-02  0.3433341E-02   0.000000       189.0625     -0.8361501E-14
    161  -13.711       187.9898       0.000000        25.29     -0.3127076E-02  0.3394296E-02  0.6562773E-15   187.9898      0.2048008E-13
    162  -13.672       186.9202       0.000000        25.45      0.3088590E-02  0.3355977E-02 -0.1248789E-15   186.9202      0.2924677E-14
    163  -13.633       185.8536       0.000000        25.60     -0.3050809E-02  0.3318365E-02 -0.4263167E-15   185.8536     -0.2776592E-13
    164  -13.594       184.7900       0.000000        25.76      0.3013718E-02  0.3281443E-02  0.9833504E-16   184.7900      0.4167527E-13
    165  -13.555       183.7296       0.000000        25.92     -0.2977298E-02  0.3245195E-02 -0.7370021E-16   183.7296      0.1003010E-13
    166  -13.516       182.6721       0.000000        26.08      0.2941535E-02  0.3209604E-02  0.8512035E-17   182.6721      0.4152995E-14
    167  -13.477       181.6177       0.000000        26.23     -0.2906413E-02  0.3174655E-02 -0.5166496E-15   181.6177     -0.1907135E-13
    168  -13.438       180.5664       0.000000        26.39      0.2871916E-02  0.3140332E-02 -0.1393943E-16   180.5664      0.3574918E-13
    169  -13.398       179.5181       0.000000        26.55     -0.2838029E-02  0.3106622E-02 -0.2854127E-15   179.5181      0.2585786E-13
    170  -13.359       178.4729       0.000000        26.70      0.2804739E-02  0.3073508E-02 -0.3359112E-16   178.4729      0.2812674E-13
    171  -13.320       177.4307       0.000000        26.86     -0.2772031E-02  0.3040979E-02 -0.6900632E-16   177.4307     -0.2000470E-13
    172  -13.281       176.3916       0.000000        27.02      0.2739891E-02  0.3009019E-02  0.2732189E-16   176.3916      0.1585904E-13
    173  -13.242       175.3555       0.000000        27.17     -0.2708308E-02  0.2977616E-02 -0.6237345E-16   175.3555     -0.1848181E-13
    174  -13.203       174.3225       0.000000        27.33      0.2677267E-02  0.2946758E-02  0.2498981E-16   174.3225     -0.1030493E-14
    175  -13.164       173.2925       0.000000        27.49     -0.2646757E-02  0.2916431E-02  0.8817403E-15   173.2925     -0.1994138E-13
    176  -13.125       172.2656       0.000000        27.65      0.2616766E-02  0.2886624E-02 -0.1054439E-16   172.2656     -0.2109424E-13
    177  -13.086       171.2418       0.000000        27.80     -0.2587282E-02  0.2857325E-02  0.4809760E-15   171.2418      0.9394462E-14
    178  -13.047       170.2209       0.000000        27.96      0.2558293E-02  0.2828523E-02  0.9990818E-16   170.2209      0.1434963E-13
    179  -13.008       169.2032       0.000000        28.12     -0.2529788E-02  0.2800207E-02  0.1309716E-15   169.2032     -0.1207381E-13
    180  -12.969       168.1885       0.000000        28.27      0.2501758E-02  0.2772366E-02 -0.6641262E-17   168.1885     -0.1990755E-13
    181  -12.930       167.1768       0.000000        28.43     -0.2474190E-02  0.2744990E-02  0.1761594E-15   167.1768     -0.1721553E-13
    182  -12.891       166.1682       0.000000        28.59      0.2447076E-02  0.2718067E-02 -0.1924354E-16   166.1682      0.1868984E-13
    183  -12.852       165.1627       0.000000        28.75     -0.2420405E-02  0.2691590E-02  0.4091920E-16   165.1627      0.1793010E-13
    184  -12.812       164.1602       0.000000        28.90      0.2394168E-02  0.2665547E-02 -0.1214306E-16   164.1602      0.2639882E-13
    185  -12.773       163.1607       0.000000        29.06     -0.2368355E-02  0.2639930E-02  0.1321538E-15   163.1607     -0.4351040E-13
    186  -12.734       162.1643       0.000000        29.22      0.2342957E-02  0.2614730E-02 -0.5030698E-16   162.1643     -0.2705461E-13
    187  -12.695       161.1710       0.000000        29.37     -0.2317966E-02  0.2589937E-02 -0.7242471E-16   161.1710     -0.2885873E-13
    188  -12.656       160.1807       0.000000        29.53      0.2293372E-02  0.2565543E-02  0.2363980E-16   160.1807      0.1371833E-13
    189  -12.617       159.1934       0.000000        29.69     -0.2269168E-02  0.2541540E-02 -0.2571728E-15   159.1934     -0.1502938E-13
    190  -12.578       158.2092       0.000000        29.85      0.2245345E-02  0.2517919E-02  0.5425515E-15   158.2092     -0.1790235E-14
    191  -12.539       157.2281       0.000000        30.00     -0.2221895E-02  0.2494673E-02  0.2308050E-14   157.2281      0.1418310E-13
    192  -12.500       156.2500       0.000000        30.16      0.2198810E-02  0.2471793E-02   0.000000       156.2500     -0.1096292E-13
    193  -12.461       155.2750       0.000000        30.32     -0.2176084E-02  0.2449273E-02  0.3277518E-15   155.2750      0.5010418E-14
    194  -12.422       154.3030       0.000000        30.47      0.2153708E-02  0.2427105E-02  0.1514396E-15   154.3030      0.9894594E-14
    195  -12.383       153.3340       0.000000        30.63     -0.2131675E-02  0.2405281E-02  0.5085118E-16   153.3340     -0.3493120E-13
    196  -12.344       152.3682       0.000000        30.79      0.2109979E-02  0.2383795E-02  0.6408702E-16   152.3682      0.3946789E-13
    197  -12.305       151.4053       0.000000        30.94     -0.2088612E-02  0.2362640E-02  0.1729524E-15   151.4053     -0.9436896E-15
    198  -12.266       150.4456       0.000000        31.10      0.2067568E-02  0.2341809E-02 -0.5344579E-16   150.4456     -0.9672550E-14
    199  -12.227       149.4888       0.000000        31.26     -0.2046841E-02  0.2321296E-02 -0.2957345E-15   149.4888     -0.2449403E-13
    200  -12.188       148.5352       0.000000        31.42      0.2026424E-02  0.2301094E-02 -0.1696243E-16   148.5352      0.1666749E-13
    201  -12.148       147.5845       0.000000        31.57     -0.2006310E-02  0.2281198E-02 -0.3594053E-15   147.5845     -0.2852288E-14
    202  -12.109       146.6370       0.000000        31.73      0.1986495E-02  0.2261601E-02  0.1047591E-16   146.6370      0.2649950E-13
    203  -12.070       145.6924       0.000000        31.89     -0.1966972E-02  0.2242298E-02  0.1107412E-15   145.6924     -0.3638156E-13
    204  -12.031       144.7510       0.000000        32.04      0.1947735E-02  0.2223282E-02  0.1557421E-16   144.7510      0.2012279E-14
    205  -11.992       143.8126       0.000000        32.20     -0.1928779E-02  0.2204548E-02  0.1579118E-15   143.8126     -0.1637592E-13
    206  -11.953       142.8772       0.000000        32.36      0.1910099E-02  0.2186092E-02 -0.8393493E-17   142.8772     -0.1303124E-13
    207  -11.914       141.9449       0.000000        32.52     -0.1891688E-02  0.2167906E-02  0.4441540E-15   141.9449     -0.7827269E-14
    208  -11.875       141.0156       0.000000        32.67      0.1873543E-02  0.2149987E-02 -0.5817488E-17   141.0156     -0.9186559E-14
    209  -11.836       140.0894       0.000000        32.83     -0.1855657E-02  0.2132329E-02  0.1400624E-15   140.0894      0.8428959E-14
    210  -11.797       139.1663       0.000000        32.99      0.1838026E-02  0.2114928E-02  0.2202307E-16   139.1663      0.4157078E-13
    211  -11.758       138.2462       0.000000        33.14     -0.1820645E-02  0.2097778E-02 -0.6163375E-16   138.2462     -0.1242729E-13
    212  -11.719       137.3291       0.000000        33.30      0.1803510E-02  0.2080875E-02 -0.9615387E-17   137.3291      0.1594558E-13
    213  -11.680       136.4151       0.000000        33.46     -0.1786615E-02  0.2064214E-02 -0.6865544E-16   136.4151     -0.1446065E-13
    214  -11.641       135.5042       0.000000        33.62      0.1769957E-02  0.2047790E-02 -0.4957604E-17   135.5042      0.7743269E-14
    215  -11.602       134.5963       0.000000        33.77     -0.1753530E-02  0.2031600E-02 -0.1339013E-15   134.5963      0.1775703E-13
